Set Size|Set Diff|Est
1000 0 0
1000 0 0
1000 0 0
1000 0 0
1000 5 2
1000 5 6
1000 5 2
1000 5 2
1000 10 2
1000 10 12
1000 10 8
1000 10 10
1000 15 16
1000 15 12
1000 15 20
1000 15 14
1000 20 24
1000 20 24
1000 20 14
1000 20 22
1000 25 18
1000 25 24
1000 25 20
1000 25 20
1000 30 34
1000 30 38
1000 30 28
1000 30 22
1000 35 32
1000 35 38
1000 35 36
1000 35 34
1000 40 44
1000 40 44
1000 40 36
1000 40 26
1000 45 56
1000 45 50
1000 45 36
1000 45 50
1000 50 66
1000 50 42
1000 50 54
1000 50 56
1000 55 46
1000 55 48
1000 55 60
1000 55 46
1000 60 70
1000 60 54
1000 60 70
1000 60 56
1000 65 62
1000 65 66
1000 65 56
1000 65 60
1000 70 58
1000 70 68
1000 70 70
1000 70 76
1000 75 64
1000 75 74
1000 75 78
1000 75 58
1000 80 76
1000 80 256
1000 80 70
1000 80 60
1000 85 136
1000 85 70
1000 85 136
1000 85 160
1000 90 80
1000 90 160
1000 90 74
1000 90 80
1000 95 124
1000 95 94
1000 95 86
1000 95 208
1000 100 168
1000 100 160
1000 100 116
1000 100 80
